state,county,inperson,total_votes,inperson_pct,pre_covid_cases,post_covid_cases,pre_week_diff,num_prec_pc,pop_2018,med_age,medIncome_2018,pctPovty_2018,unplmtRate_2018,noins_u65_2018,pctUrban_2010,pct_vet,avg_householdsize,pct_snap,pctno_hs,pctcollege,popDens,pct_black,pct_hisp,pct_asian,pct65plus,pct4064,pct1840,pctTrump_2016,inperson_1000,turnout,pre_election_rate,post_election_rate,state_pre_rate,state_post_rate,state_inperson_rate,FIPS,temp_oct,temp_nov
Arkansas,Yell,1882,2204,0.853901996370236,44,150,-2,455.073136754121,21535,37.8,41729,16.3,4.2,120,20.9,0.0672858137915022,2.66,0.117622475040632,19.9,13.5,23.9,0.0156025075458556,0.205340143951707,0.0130949616902717,0.158671929417228,0.322544694683074,0.248804272115161,0.719987478479,1.882,0.0873926166705363,204.318551195728,696.540515439981,438.047995487462,753.062968155085,0.089176378854114,05149,60.1,53.4
Alabama,Montgomery,75122,99326,0.75631758049252,1059,791,137,21.2612341260525,225763,34.9,49640,20.1,4,122,89.5,0.0900944796091476,2.45,0.228000159459256,14.4,32.1,292.5,0.585454658203514,0.0351563365121831,0.0319051394604076,0.121459229368851,0.29858745675775,0.280023741711441,0.358753119316,75.122,0.332747172920275,469.075977906034,350.367420702241,411.672075633747,619.738123203333,0.413973895792258,01101,68.5,60.2
North Carolina,Beaufort,5775,8842,0.653132775390183,222,174,4,59.4745003079929,47079,43.8,46411,18.1,4.6,131,34.4,0.075532615391151,2.37,0.209350241084135,12.4,19.4,57.7,0.24348435608233,0.0800569255931519,0.00548015038552221,0.186537522037426,0.333588224048939,0.221563754540241,0.613500572058,5.775,0.122666156885235,471.547823870516,369.591537628242,290.833062072765,478.19546555055,0.0862412145282666,37013,66.4,58.4
North Carolina,Caswell,3614,5016,0.720494417862839,85,118,1,39.6510705789056,22698,43.6,45517,17.1,4.4,132,0.8,0.0668340822979998,2.43,0.201779892501542,20.5,15.5,55.8,0.31919111816019,0.0415895673627632,0.00590360384174817,0.165433077804212,0.337078156665786,0.206626134461186,0.547598668569,3.614,0.15922107674685,374.48233324522,519.86959203454,290.833062072765,478.19546555055,0.0862412145282666,37033,61.2,53.4
Virginia,Richmond City,39370,114413,0.344104253887233,367,705,-15,30.5966789490478,228783,32,48747,22.3,3.5,133,100,0.062390999331244,2.2,0.170226808810095,15,38.5,3414.7,0.467901898305381,0.0707001831429783,0.0235856685155803,0.0988666115926446,0.280610884549988,0.367378695095352,0.150479287192,39.37,0.172084464317716,160.414016775722,308.152266558267,182.15043171941701,389.75378873485,0.211268319971917,51760,61.1,53.6
Louisiana,Pointe Coupee,7489,12371,0.605367391480074,44,120,-22,127.620783956244,21940,41.4,46603,20.3,5.4,93,42.2,0.0484958979033728,2.5,0.202278942570647,19.7,15.2,40.9,0.353281677301732,0.0288058340929809,0.003281677301732,0.161075660893345,0.325068368277119,0.249544211485871,0.577246832752,7.489,0.341340018231541,200.546946216955,546.94621695533306,162.082310259834,585.753838322842,0.250873072791331,22077,69.7,63
New Mexico,Chaves,3745,7496,0.499599786552828,408,1618,34,97.3890460511061,64689,34.7,43527,18.9,4.9,116,75.8,0.0575832058000587,2.7,0.249980676776577,22,17.8,10.8,0.0141909752817326,0.571998330473496,0.0116248512111796,0.143656572214751,0.286555674071326,0.272642953206882,0.638374919391,3.745,0.0578923773748242,630.710012521449,2501.19803985222,483.86296260239,1510.00177529364,0.067838169576812,35005,60.4,53
Indiana,Shelby,8667,20221,0.428613817318629,229,664,71,89.7001771578499,44593,39.9,57193,11.6,3.1,80,48,0.0751687484582782,2.53,0.0819411118336959,12,19.4,108.1,0.012221649137757,0.0437512614087413,0.00858879196286413,0.138766174063194,0.34368622878030203,0.251070795864822,0.709116253136,8.667,0.194357858856771,513.533514228691,1489.02294082031,485.020796852543,1230.98478483917,0.179473086628298,18145,53.8,47.3
Indiana,Montgomery,3424,17393,0.196860806071408,146,476,62,70.4115161946487,38346,39.4,53700,10.8,3,95,47.2,0.0707244562666249,2.47,0.0831899024670109,10.5,18.1,75.6,0.00962290721326866,0.0498617848015438,0.00839722526469514,0.154592395556251,0.323710426120065,0.246023053251969,0.731805840673,3.424,0.0892922338705471,380.74375423773,1241.32895217233,485.020796852543,1230.98478483917,0.179473086628298,18107,52.7,46.4
Florida,Calhoun,5015,6564,0.764015843997563,60,68,-14,75.4096112977309,14587,39.7,38323,21.3,4.1,149,32.5,0.0805511757043943,2.52,0.168848975114828,21.9,9.9,25.8,0.130047302392541,0.0574484129704531,0.00802084047439501,0.154795365736615,0.284431342976623,0.218345101802975,0.765946925993,5.015,0.343799273325564,411.325152533077,466.168506204154,243.862188120985,510.814309843152,0.295232266750237,12013,73.1,66.4
South Carolina,Dillon,7105,13101,0.542325013357759,66,105,6,62.0935324683813,30599,36.7,33159,32.1,4.8,147,30.5,0.0611457890780744,2.65,0.275303114480865,25.1,11.1,79.2,0.469688551913461,0.0285303441288931,0.0054903755024674,0.13591947449263,0.312003660250335,0.257688159743782,0.481959644323,7.105,0.232197130625184,215.693323311219,343.148468904213,262.404932056182,410.493286261338,0.233667451658859,45033,67,59.4
Arkansas,Carroll,2500,4402,0.56792367105861,107,254,-5,46.0617227084293,28223,44,45023,16.1,3.2,128,27.2,0.0799702370407115,2.39,0.0957375190447507,14.2,20.4,43.6,0.00549197463062042,0.15242887007051,0.0154483931545194,0.181802076320731,0.317613294121816,0.231407008468271,0.635604354354,2.5,0.0885802359777486,379.123409984764,899.975197533926,438.047995487462,753.062968155085,0.089176378854114,05015,56.2,51.1
Pennsylvania,Lycoming,46415,59254,0.783322644884733,122,859,26,71.2626689189189,113664,41.1,53820,13,4.8,67,63.7,0.0872043918918919,2.37,0.149941934121622,10.2,22.8,94.5,0.0450978322072072,0.0206661739864865,0.00644003378378378,0.168144707207207,0.317259642454955,0.249973606418919,0.70535252714,46.415,0.408352688626126,107.333896396396,755.736204954955,206.1441111387,716.12063970966,0.335690470724741,42081,51.2,43.1
Ohio,Auglaize,11749,25940,0.452929838087895,351,618,69,85.145402148284,45804,40,63754,6.9,3.3,60,60.9,0.0627892760457602,2.53,0.0608243821500306,6.8,18.9,114.5,0.0058510173783949,0.0177277093703607,0.00580735306960091,0.154156842197188,0.323203213693127,0.251266264955026,0.793088363955,11.749,0.256505982010305,766.308619334556,1349.22714173435,297.627551426321,989.773506725129,0.210595766675604,39011,52.2,46
Ohio,Sandusky,13492,30453,0.443043378320691,113,539,33,98.641133352608,58799,40.4,53978,10,4.5,65,55.9,0.0766509634517594,2.48,0.0828755591081481,9.8,16,149.2,0.0302556165921189,0.100069729077025,0.00428578717325125,0.15842106158268,0.333611115835303,0.250973656014558,0.583645556728,13.492,0.229459684688515,192.180139118012,916.682256500961,297.627551426321,989.773506725129,0.210595766675604,39143,52.6,46.1
Pennsylvania,Mercer,43085,57954,0.743434448010491,234,972,30,81.3133001454605,110683,42.8,48788,15.3,4.7,69,55.5,0.0895169086490247,2.37,0.167776442633467,10.2,22.6,173.4,0.0572445633024042,0.015566979572292,0.00774283313607329,0.194754388659505,0.326680700739951,0.222301527786562,0.605597451305,43.085,0.389264837418574,211.414580378197,878.183641570973,206.1441111387,716.12063970966,0.335690470724741,42085,51.2,44.8
Ohio,Tuscarawas,23547,44580,0.528196500672948,379,1497,47,87.875368859573,92176,40.9,51030,12.3,4.6,93,58.4,0.0719818607880576,2.47,0.113923363999306,14.1,15.8,163.1,0.00816915466064919,0.0287493490713418,0.00438291963200833,0.164598160041659,0.320853584447145,0.252408436035411,0.651192376771,23.547,0.25545695191807,411.169935775039,1624.06700225655,297.627551426321,989.773506725129,0.210595766675604,39157,53.6,45.9
Oklahoma,Greer,1468,1573,0.933248569612206,25,72,-7,137.433430682013,5821,40.1,37445,26,4,137,47.3,0.0733550936265246,2.34,0.176601958426387,15.8,13.5,9.8,0.0814293076790929,0.120254251846762,0.0030922521903453,0.186222298574128,0.245662257344099,0.192578594743171,0.78164556962,1.468,0.252190345301495,429.479470881292,1236.90087613812,410.821086770009,1037.46336302164,0.28217263717009,40055,59.1,54.4
North Carolina,Buncombe,19508,55760,0.349856527977044,495,799,81,38.2087432411049,259103,40.6,53960,11.5,3,125,75.9,0.0712110627819825,2.3,0.116760516088197,9,39.2,362.9,0.0603003438786892,0.0668691601409478,0.014353365264007,0.147030331566983,0.327190345152314,0.272686923733033,0.411420966939,19.508,0.0752905215300479,191.043716205524,308.371574238816,290.833062072765,478.19546555055,0.0862412145282666,37021,57.8,48.9
New Mexico,Luna,1350,3518,0.383740761796475,565,414,243,70.9427033343071,23963,39.5,30570,27.2,11.9,125,59.4,0.0695655802695823,2.56,0.393314693485791,31.4,12.2,8.5,0.00955639944915077,0.676250886783792,0.0106414055001461,0.204774026624379,0.264699745440888,0.2441680924759,0.48005521049,1.35,0.0563368526478321,2357.80161081668,1727.66348120018,483.86296260239,1510.00177529364,0.067838169576812,35029,64.5,54.3
Iowa,Obrien,3896,7551,0.515958151238247,210,202,64,65.028901734104,13840,43.6,53147,9.1,2,57,33.7,0.073771676300578,2.31,0.0770231213872832,7.7,19.9,25.1,0.00946531791907514,0.0510838150289017,0.00852601156069364,0.21221098265896,0.309898843930636,0.241690751445087,0.780484485574,3.896,0.28150289017341,1517.34104046243,1459.53757225434,641.196273914113,1284.23641455756,0.223692212378581,19141,43.3,38.8
Pennsylvania,Chester,164419,314502,0.522791587970824,623,2351,107,44.0574202273363,522046,39.3,99224,6.7,3.2,59,86.7,0.0480053481877076,2.65,0.0484535845500205,6.7,51.8,664.7,0.0570850078345586,0.0755623067699015,0.0584986763618532,0.122355118131352,0.342971692149734,0.255845270340162,0.433480724731,164.419,0.314951172885148,119.338142615785,450.343456323772,206.1441111387,716.12063970966,0.335690470724741,42029,56.2,48.7
North Carolina,Martin,3574,4783,0.747229772109555,69,106,11,74.9856645053152,22671,44,43569,20.3,5,120,21.9,0.0694279034890389,2.36,0.232367341537647,16.7,16.8,53.1,0.417229059150457,0.0415949891932425,0.00560187023069119,0.189537294340788,0.337964800846897,0.224648229015041,0.495612554843,3.574,0.157646332318821,304.35357946275,467.557672797847,290.833062072765,478.19546555055,0.0862412145282666,37117,65.2,57.3
Georgia,Putnam,2053,5325,0.385539906103286,58,46,4,22.9263148241552,21809,43.5,51205,16.1,5,190,19.1,0.0822137649594204,2.45,0.1696088770691,14.6,22.2,61.6,0.261405841625017,0.064422944655876,0.00641936815076345,0.176303360997753,0.329726259801,0.224540327387776,0.690912946665,2.053,0.0941354486679811,265.9452519602,210.922096382228,231.494442450788,416.646267993412,0.0937936541509914,13237,67.6,59.1
Alabama,Clay,6468,7026,0.920580700256191,88,70,-26,105.461393596987,13275,42,39201,17.6,3.9,159,0,0.0757062146892655,2.41,0.12120527306968,24.5,10.2,23.1,0.138305084745763,0.0301318267419962,0.0024105461393597,0.184482109227872,0.339133709981168,0.243691148775895,0.795800365186,6.468,0.487231638418079,662.900188323917,527.306967984934,411.672075633747,619.738123203333,0.413973895792258,01027,65.1,56.5
Virginia,Danville City,7613,19742,0.385624556782494,135,194,1,41.7762268694862,40693,42.6,36015,25.6,5.1,112,95.5,0.0799400388273167,2.21,0.281522620598137,18,18.4,1002.8,0.504607672081193,0.046420760327329,0.013417541100435,0.201877472784017,0.303860614847763,0.247364411569557,0.387339624642,7.613,0.187083773621999,331.752389845919,476.740471334136,182.15043171941701,389.75378873485,0.211268319971917,51590,60.8,52.8
Indiana,Orange,5129,8976,0.57141265597147906,75,146,-11,112.884191082149,19489,40.8,44968,15.6,3.9,101,16.5,0.0757863410128791,2.49,0.101493149982041,16.7,12.3,49.8,0.014161834881215,0.0177022936015188,0.00405356867976807,0.160706039304223,0.330596746882857,0.240699881984709,0.708267187691,5.129,0.263174098209246,384.832469598235,749.140540817897,485.020796852543,1230.98478483917,0.179473086628298,18117,54.9,48.4
Alabama,Tallapoosa,19212,21068,0.911904309853807,136,232,8,61.7329678741635,40497,42.4,42205,19.7,4.2,118,25.8,0.0783267896387387,2.42,0.187692915524607,19.5,18.3,58.1,0.267797614638121,0.0235079141664815,0.00619798997456602,0.177618095167543,0.334889004123762,0.238659653801516,0.700767401643,19.212,0.474405511519372,335.82734523545,572.881941872237,411.672075633747,619.738123203333,0.413973895792258,01123,65.8,57.7
Louisiana,Calcasieu,35641,82663,0.431160253075741,323,918,-5,60.5577218480444,203112,35.9,50531,14.9,3.8,88,79.5,0.0725215644570483,2.55,0.155288707708063,13.5,21.9,181.2,0.253722084367246,0.0377427232265942,0.0135590216235378,0.119766434282563,0.297830753475915,0.293168301232817,0.646771632865,35.641,0.175474614990744,159.025562251369,451.967387451258,162.082310259834,585.753838322842,0.250873072791331,22019,69.8,64.1
Indiana,Jefferson,6940,14865,0.466868483013791,102,506,58,80.7252856433184,32208,39.7,51031,15.5,3.4,86,54.9,0.0780861897665176,2.42,0.0952868852459016,9.9,17.9,89.9,0.0189393939393939,0.0288748137108793,0.00807252856433184,0.147230501738698,0.32557128663686,0.239102086438152,0.634276799643,6.94,0.215474416294088,316.691505216095,1571.03825136612,485.020796852543,1230.98478483917,0.179473086628298,18077,55.6,48.8
North Carolina,Swain,1647,2410,0.683402489626556,88,63,-16,35.1000351000351,14245,40.8,43121,15.2,4.3,193,0,0.0705510705510706,2.42,0.144682344682345,21.7,16,26.5,0.0106704106704107,0.0554580554580555,0.00702000702000702,0.162934362934363,0.318708318708319,0.265566865566866,0.594617184888,1.647,0.115619515619516,617.760617760618,442.260442260442,290.833062072765,478.19546555055,0.0862412145282666,37173,56.2,47.8
Alabama,Jackson,21055,22270,0.945442299057027,339,570,-25,56.0538116591928,51736,41.4,41929,19.7,4.1,133,23,0.0634181227771764,2.45,0.139400030926241,17.5,14.2,49.4,0.0341348384103912,0.029534560074223,0.00585665687335704,0.169572444719344,0.344479665996598,0.242809648987166,0.800721674284,21.055,0.406970001546312,655.249729395392,1101.74733261172,411.672075633747,619.738123203333,0.413973895792258,01071,63.5,53.9
Oklahoma,Grant,1787,1925,0.928311688311688,35,42,7,161.812297734628,4326,45.8,49073,12.7,2.1,145,0,0.0732778548312529,2.33,0.0698104484512252,9.9,23.1,4.5,0.0166435506241331,0.0515487748497457,0.00254276467868701,0.222376329172446,0.307674526121128,0.231391585760518,0.830454545455,1.787,0.413083680073971,809.061488673139,970.873786407767,410.821086770009,1037.46336302164,0.28217263717009,40053,56.9,51.8
California,Fresno,50605,370068,0.13674513873126,1867,4271,-141,38.6162510056315,994400,30.6,52318,21.3,7.5,88,89.2,0.0402262670957361,3.15,0.202383346741754,24.7,20.7,156.2,0.0463907884151247,0.53467115848753,0.110469629927595,0.0939471037811746,0.269790828640386,0.309287007240547,0.455315187162,50.605,0.0508899839098954,187.751407884151,429.50522928399,146.156018965535,473.459473971519,0.061200232035798,06019,63,48
Ohio,Licking,32970,94899,0.347421996016818,645,1853,65,54.6171395411022,175769,39.1,66145,9.1,4,71,64.5,0.0774880667239388,2.55,0.0998810939357907,8.8,26.2,243.9,0.039603115452668,0.0198840523641825,0.018558448873237,0.125659245942117,0.332641136946788,0.257087427248263,0.621493973476,32.97,0.187575738611473,366.958906291781,1054.22457885065,297.627551426321,989.773506725129,0.210595766675604,39089,53.2,45.6
North Carolina,Brunswick,10342,29171,0.354530184086936,234,473,-28,18.282337799099,136744,47.4,60163,10.5,5.2,137,57,0.108904229801673,2.3,0.106300824899081,9.6,28.6,126.8,0.100179898203943,0.0487333996372784,0.00791990873456971,0.168387644064822,0.339912537295969,0.190582402152928,0.6310311501,10.342,0.0756303750073129,171.122681799567,345.901831158954,290.833062072765,478.19546555055,0.0862412145282666,37019,69.4,60.5
Virginia,Craig,2054,3230,0.635913312693498,9,18,-9,177.725118483412,5064,44.8,50858,11.9,3.5,89,0,0.082740916271722,2.37,0.116113744075829,7.5,18.5,15.8,0.00355450236966825,0.0148104265402844,0.00157977883096367,0.174960505529226,0.371840442338073,0.220774091627172,0.768318965517,2.054,0.405608214849921,177.725118483412,355.450236966825,182.15043171941701,389.75378873485,0.211268319971917,51045,56.3,47.4
Virginia,Russell,8086,13622,0.593598590515343,112,110,-14,59.8175564528189,26748,43,38966,21.5,4.3,107,11.8,0.0425452370270674,2.38,0.190369373411096,20.7,13.5,61,0.00915956333183789,0.0139075818752804,0.00231793031254673,0.177209510991476,0.361148497083894,0.230409750261702,0.780319803198,8.086,0.302302975923434,418.722895169732,411.24570061313,182.15043171941701,389.75378873485,0.211268319971917,51167,57.3,48.6
Louisiana,St. Tammany,64781,140110,0.462358147170081,285,1448,-37,65.4757061884228,258111,39.3,67054,11.8,4.2,82,76.8,0.0694468658832828,2.66,0.0966522155196795,9.8,33.5,276.4,0.122528679521601,0.0573822890151911,0.0147688397627377,0.11478782384323,0.332880039982798,0.255444363084099,0.730884563748,64.781,0.250981167017291,110.417611027814,560.99895006412,162.082310259834,585.753838322842,0.250873072791331,22103,70.8,63.9
Indiana,Jasper,7915,15683,0.504686603328445,271,428,27,86.9044051543302,33370,38,66720,9.4,3.9,96,32,0.0653581060833084,2.66,0.0774048546598741,11.8,14.9,59.8,0.00791129757267006,0.0610728198981121,0.00476475876535811,0.140905004495055,0.327240035960443,0.245939466586755,0.703773160303,7.915,0.237189091998801,812.106682649086,1282.58915193287,485.020796852543,1230.98478483917,0.179473086628298,18073,50.8,45
South Carolina,Oconee,20984,40668,0.515983082521885,236,550,6,39.5539337025034,78374,43.4,50529,14.4,3.3,154,35.1,0.0874269528159849,2.4,0.114272590399878,16.1,24.6,118.6,0.0732130553499885,0.0574552785362493,0.00940362875443387,0.179983157679843,0.330900553755072,0.234465511521678,0.718640023859,20.984,0.267741853165591,301.120269477123,701.763339883124,262.404932056182,410.493286261338,0.233667451658859,45073,63.3,55.3
Iowa,Cedar,4708,10703,0.439876670092497,186,232,-14,64.4226123369303,18627,42.4,67597,7.6,2.4,45,16.6,0.0787029580716165,2.42,0.064959467439738,5.1,23,31.9,0.0060664626617276,0.0208836634992216,0.00692543082622,0.166049283298438,0.344660976002577,0.23750469748215,0.562007244833,4.708,0.25275138240189,998.550491222419,1245.50383851399,641.196273914113,1284.23641455756,0.223692212378581,19031,47.2,43.1
Virginia,Salem City,4053,13097,0.309460181721005,171,165,3,42.8966969543345,25643,40.5,57274,9.7,2.9,77,100,0.0809577662519986,2.3,0.0577545528994267,10.4,29.1,1718,0.0742112857309987,0.0340833755800803,0.0204734235463869,0.165347268260344,0.30827126311274,0.238778614046718,0.595679775744,4.053,0.158054829778107,666.848652653746,643.450454315018,182.15043171941701,389.75378873485,0.211268319971917,51775,59.3,51.3
Alabama,Clarke,11852,13185,0.898900265453166,151,95,-41,117.056856187291,23920,40.2,40741,22.8,7.5,126,24,0.0644648829431438,2.47,0.237876254180602,18.8,12.6,20.9,0.443269230769231,0.013628762541806,0.00434782608695652,0.174498327759197,0.330392976588629,0.24757525083612,0.549551638837,11.852,0.495484949832776,631.270903010033,397.157190635452,411.672075633747,619.738123203333,0.413973895792258,01025,69.8,61.8
North Carolina,Clay,1608,2417,0.665287546545304,74,17,10,80.7971990304336,11139,49.6,42878,14.6,4.3,163,0,0.0866325522937427,2.25,0.147410000897747,11.5,22.8,49.3,0.0114911571954394,0.0363587395636951,0.00359098662357483,0.224257114642248,0.327677529401203,0.186641529760302,0.74681393373,1.608,0.144357662267708,664.332525361343,152.61693150193,290.833062072765,478.19546555055,0.0862412145282666,37043,58.7,50.2
Georgia,Wilkes,1231,2463,0.499796995533902,37,62,9,70.8788983394087,9876,43.4,39361,20.3,4.6,196,32.6,0.0690562980963953,2.4,0.234609153503443,19.5,12.6,22.6,0.407857432158769,0.0531591737545565,0.00860672336978534,0.199574726609964,0.323207776427704,0.222863507492912,0.574720357942,1.231,0.124645605508303,374.645605508303,627.784528149048,231.494442450788,416.646267993412,0.0937936541509914,13317,65.8,58.4
Indiana,Monroe,25887,63632,0.406823610761881,398,1230,100,55.8138268546186,146917,27.7,48883,21.4,3.6,98,78.8,0.0518047605110368,2.24,0.0530231355118877,7.8,45.6,349.7,0.0347475104991254,0.0350197730691479,0.0704751662503318,0.0956118080276619,0.247758938720502,0.369848281682855,0.356229283446,25.887,0.176201528754331,270.901257172417,837.207402819279,485.020796852543,1230.98478483917,0.179473086628298,18105,53.7,46.9
Alabama,Randolph,9904,10873,0.910880161868849,79,95,-13,110.01100110011,22725,41.2,40546,19.7,4,131,18.7,0.0698349834983498,2.46,0.214697469746975,21.2,14.9,39.5,0.193619361936194,0.0290869086908691,0.00391639163916392,0.171089108910891,0.334873487348735,0.237007700770077,0.75982230997,9.904,0.435819581958196,347.634763476348,418.041804180418,411.672075633747,619.738123203333,0.413973895792258,01111,64.7,56.4
Georgia,Laurens,7612,12736,0.597675879396985,184,135,16,33.8087691494981,47325,38,42114,24.6,4.8,158,43.4,0.0766613840464871,2.54,0.259313259376651,14.9,15.6,60,0.369931325937665,0.0273851030110935,0.0114315900686741,0.145462229265716,0.307871104067618,0.255319598520866,0.63764911559,7.612,0.160845219228737,388.800845219229,285.261489698891,231.494442450788,416.646267993412,0.0937936541509914,13175,70.5,61.6
